Cust_No,Target,Birth_Place,Gender,Age,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
2223,0,330621,1,41,972.61,30000,0,6,4,1,0,2,1,0,0,0,0,0,0
2224,0,330621,1,48,18993.38,100000,0,7,4,1,18,1,1,1,1,0,0,0,0
2225,0,330621,1,51,659.24,20000,0,1,1,0,0,0,0,0,0,0,0,0,0
2226,0,330621,1,47,0,20000,0,3,3,0,0,0,0,1,1,0,0,0,0
2227,0,330621,0,38,15.43,5000,0,3,3,0,0,0,0,1,1,0,0,0,0
2228,0,330602,1,26,33.26,20000,9691.6,13,9,0,0,0,0,5,4,0,0,0,0
2229,0,330621,1,41,899.35,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
2230,0,330621,1,41,424.61,20000,0,14,11,2,0,5,1,0,0,0,0,0,0
2231,0,330621,1,45,67.77,10000,0,1,1,1,802,2,1,0,0,0,0,0,0
2232,0,330621,1,40,63.89,10000,0,13,8,1,266,5,1,0,0,0,0,0,0
2233,0,330621,1,55,74.61,15000,4500000,4,3,0,0,0,0,1,1,0,0,0,0
2234,0,330621,1,53,2016.81,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
2235,0,330623,1,37,667.34,20000,0,3,3,0,0,0,0,2,2,1,5536,2,1
2236,0,330621,0,35,73.26,5000,1860000,11,4,4,6948,63,2,0,0,0,0,0,0
2237,0,330621,1,52,0.39,8000,0,2,2,2,0,2,1,2,2,0,0,0,0
2238,0,330621,0,44,2138.21,10000,0,3,3,0,0,0,0,0,0,0,0,0,0
2239,0,330602,1,42,5.04,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,0,330621,1,34,29622.04,20000,400000,8,5,1,35,2,1,1,1,0,0,0,0
2241,0,330621,1,51,4539.56,15000,400000,7,5,6,397,50,3,1,1,0,0,0,0
2242,0,330621,1,51,9192.1,10000,400000,1,1,0,0,0,0,2,2,0,0,0,0
2243,0,330184,1,37,8.21,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
2244,0,432923,1,36,6.47,10000,0,5,4,0,0,0,0,1,1,0,0,0,0
2245,0,330621,0,43,2630.69,5000,465499.89,0,0,0,0,0,0,1,1,0,0,0,0
2246,0,330621,1,51,642.76,15000,100000,9,4,1,162,2,1,3,3,0,0,0,0
2247,0,341225,1,34,147.97,30000,100000,8,5,0,0,0,0,0,0,0,0,0,0
2248,0,330621,0,45,465.35,20000,900000,4,2,0,0,0,0,2,2,0,0,0,0
2249,0,330621,1,41,344.91,20000,90000,5,4,0,0,0,0,1,1,0,0,0,0
2250,0,330621,1,30,382.83,5000,0,6,4,5,5235,23,3,1,1,0,0,0,0
2251,0,330621,1,49,96.14,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
2252,0,330621,1,49,190.2,20000,400000,1,1,0,0,0,0,1,1,0,0,0,0
2253,0,152223,0,45,3.32,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
2254,0,330621,1,45,121.01,15000,180000,1,1,0,0,0,0,1,1,0,0,0,0
2255,0,330621,0,35,0,20000,0,7,5,0,0,0,0,1,1,0,0,0,0
2256,0,330621,1,48,396.1,20000,40000,2,2,2,2344,42,3,1,1,0,0,0,0
2257,0,330621,1,45,5.8,10000,0,4,3,0,0,0,0,0,0,0,0,0,0
2258,0,330621,1,66,144.42,5000,0,2,2,1,0,1,1,0,0,0,0,0,0
2259,0,330621,1,30,32.29,10000,0,8,6,0,0,0,0,0,0,0,0,0,0
2260,0,330621,0,29,4699.68,20000,0,2,2,1,1991,1,1,0,0,0,0,0,0
2261,0,330621,0,35,10149.53,30000,0,9,6,0,0,0,0,0,0,0,0,0,0
2262,0,330621,1,44,296.69,10000,20000,3,2,0,0,0,0,1,1,0,0,0,0
2263,0,330621,0,28,1768.13,10000,0,5,4,2,130,3,1,0,0,0,0,0,0
2264,0,330682,1,37,268.83,15000,0,3,2,1,2056,1,1,1,1,0,0,0,0
2265,0,330106,0,42,384.63,20000,300000,21,11,2,0,3,1,3,2,1,0,2,1
2266,0,330621,1,43,2453.1,20000,0,5,4,0,0,0,0,2,2,0,0,0,0
2267,0,330623,0,37,0,10000,0,7,4,3,1262,5,1,5,2,0,0,0,0
2268,0,411123,0,36,51.64,8000,0,13,4,3,753,2,1,0,0,0,0,0,0
2269,0,330621,1,27,2.19,10000,0,8,5,1,0,1,1,3,3,0,0,0,0
2270,0,510107,1,33,13696.09,50000,2550000,13,7,1,0,3,1,1,1,0,0,0,0
2271,0,330621,0,56,774566.01,2000,20000,1,1,0,0,0,0,0,0,0,0,0,0
2272,0,330683,1,31,1054.65,20000,630000,23,11,3,2322,24,1,6,4,0,0,0,0
2273,0,330621,0,38,20033.02,6000,0,5,4,1,26,1,1,1,1,0,0,0,0
2274,0,330621,1,45,23170.15,20000,0,1,1,0,0,0,0,1,1,0,0,0,0
2275,0,330323,1,45,133247.13,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
2276,0,330621,1,62,20174.21,25000,780000,8,4,0,0,0,0,3,2,0,0,0,0
2277,0,330621,1,44,1051.79,20000,540000,6,4,1,879,8,1,2,2,1,0,2,1
2278,0,330621,1,51,417.65,25000,1200000,6,4,1,45,4,1,1,1,0,0,0,0
2279,0,330621,1,33,86.17,10000,0,1,1,0,0,0,0,1,1,0,0,0,0
2280,0,330621,1,50,3243.52,5000,200000,1,1,1,0,4,1,1,1,0,0,0,0
2281,0,330621,0,40,100.13,10000,440000,2,2,1,104,2,1,3,3,1,3054,8,1
2282,0,330621,1,43,2498.71,10000,0,5,4,0,0,0,0,2,2,2,5520,3,1
2283,0,131082,0,31,6,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
2284,0,330621,1,46,27.5,5000,220000,6,3,3,658,10,4,1,1,0,0,0,0
2285,0,330621,0,51,72544.87,200000,0,6,3,2,3000,4,1,0,0,0,0,0,0
2286,0,330621,1,38,668.73,25000,200000,10,6,3,822,1,1,4,4,0,0,0,0
2287,0,330621,1,36,730.85,20000,560000,6,4,4,1894,16,1,5,4,2,3575,18,1
2288,0,330621,0,36,239.23,10000,200000,4,4,1,1000,6,2,0,0,0,0,0,0
